Model,Accuracy,Precision,Recall,F1
Random Forest,0.4014736444360476,0.3322898979128672,0.4063761496850985,0.31901808160588807
XGBoost,0.4823351596448139,0.4310245955891741,0.27433918770928095,0.2575619169104354
Logistic Regression,0.32004534290572456,0.29147327406994133,0.35092206948543103,0.24664069507297012
