Model,R2,MSE,RMSE
Random Forest,0.14115988301479465,0.8088695294101537,0.8993717415007844
XGBoost,0.13338106870651245,0.8161957263946533,0.9034355131356379
Linear Regression,0.09602948365883246,0.8513740703220196,0.922699339070978
